,FE,SBC,AB,AB-SBC1,AB-SBC5,AH,AH-SBC1,AH-SBC5
Democracy,1.890716322437299,2.5259529842913366,3.9168246834708738,5.279412312508135,4.75990983810684,6.6084831191008915,10.81381278154145,8.785203368713741
CSE,0.666056815121823,,1.931376007048687,,,3.366494415298054,,
BSE,,,,,,,,
L1.log(gdp),1.1532219503868872,1.3456496524017572,0.5539877081011907,0.6210099866926014,0.6341279288371856,0.7049521117235087,0.8283471047376061,0.8202138356163369
CSE1,0.052413589303412174,,0.05566212916178889,,,0.08984470853860475,,
BSE1,,,,,,,,
L2.log(gdp),-0.11744756167339775,-0.08868240922263046,0.07993631305420146,0.0507736871675217,0.05499341135761793,0.027068397947125233,-0.01675027889653402,-0.013893325373790968
CSE2,0.05957389185759939,,0.046392139111646115,,,0.05551724129055788,,
BSE2,,,,,,,,
L3.log(gdp),-0.07067876311990627,-0.16838221377403206,0.025437732489633727,0.014298483273459527,0.007687576102314048,-0.001076781678175466,-0.020094239594938234,-0.023998732590728225
CSE3,0.04287359952442028,,0.026234146204105913,,,0.031569313890860144,,
BSE3,,,,,,,,
L4.log(gdp),-0.08288105729181625,-0.08010979958654225,-0.037971674100710534,-0.046774722560425544,-0.04682055539852491,-0.04782662189002841,-0.05641408506495714,-0.05783589991829297
CSE4,0.02553642757344685,,0.031099463031141823,,,0.030667442250260964,,
BSE4,,,,,,,,
LR-Democracy,16.05220862357007,27.61142835627522,10.34527747914447,13.958934435943807,12.88877127092829,20.854654026345248,35.18909894567583,29.110122314411342
CSE5,6.887396097532333,,,5.004896194173265,,10.743077982131371,,
BSE5,,,,,,,,
