,FE,SBC,ABC4,AB,AB-SBC1,AB-SBC5,SH,SH-SBC1,SH-SBC5
Democracy,1.890716322437299,2.5259529842913366,1.923176082346879,3.3972368968255284,3.7890159054916377,3.2568511877350583,6.6084831191008915,10.81381278154145,8.785203368713741
CSE,0.666056815121823,,,3.1049107003885243,,,3.366494415298054,,
BSE,,,,,,,,,
L1.log(gdp),1.1532219503868872,1.3456496524017572,1.1534961408608073,1.1206251672711294,1.2130933297535988,1.2120246790478422,0.7049521117235087,0.8283471047376061,0.8202138356163369
CSE1,0.052413589303412174,,,0.04656924467358672,,,0.08984470853860475,,
BSE1,,,,,,,,,
L2.log(gdp),-0.11744756167339775,-0.08868240922263046,-0.11725243097255415,-0.09688477485655,-0.1266992384108615,-0.1223251054405122,0.027068397947125233,-0.01675027889653402,-0.013893325373790968
CSE2,0.05957389185759939,,,0.05410748725440267,,,0.05551724129055788,,
BSE2,,,,,,,,,
L3.log(gdp),-0.07067876311990627,-0.16838221377403206,-0.07016226313768384,-0.07575608806960105,-0.08927748426730259,-0.09824562417415503,-0.001076781678175466,-0.020094239594938234,-0.023998732590728225
CSE3,0.04287359952442028,,,0.0366401550541263,,,0.031569313890860144,,
BSE3,,,,,,,,,
L4.log(gdp),-0.08288105729181625,-0.08010979958654225,-0.0826927782441226,-0.08523594526782055,-0.09624199885264942,-0.09358683033112564,-0.04782662189002841,-0.05641408506495714,-0.05783589991829297
CSE4,0.02553642757344685,,,0.02806710877916716,,,0.030667442250260964,,
BSE4,,,,,,,,,
LR-Democracy,16.05220862357007,27.61142835627522,16.487802912272283,24.751885470974646,27.904170061012202,26.427200572436565,20.854654026345248,35.18909894567583,29.110122314411342
CSE5,6.887396097532333,,,,23.36316484323706,,10.743077982131371,,
BSE5,,,,,,,,,
